The maximum sample data size is 1000

	insertionsort(): sorted
         N	 repetitions	   sort(sec)
       100	     2773080	    0.000000
       200	     1548098	    0.000001
       300	     1075838	    0.000001
       400	      825329	    0.000001
       500	      661118	    0.000002
       600	      571257	    0.000002
       700	      489989	    0.000002
       800	      432057	    0.000002
       900	      383087	    0.000003
      1000	      348531	    0.000003

	insertionsort(): randomized
         N	 repetitions	   sort(sec)
       100	      161737	    0.000006
       200	       44591	    0.000022
       300	       20892	    0.000048
       400	       11625	    0.000086
       500	        7668	    0.000130
       600	        5286	    0.000189
       700	        3906	    0.000256
       800	        2926	    0.000342
       900	        2311	    0.000433
      1000	        1881	    0.000532

	insertionsort(): reversed
         N	 repetitions	   sort(sec)
       100	       91523	    0.000011
       200	       23604	    0.000042
       300	       10658	    0.000094
       400	        6018	    0.000166
       500	        3865	    0.000259
       600	        2681	    0.000373
       700	        1979	    0.000505
       800	        1520	    0.000658
       900	        1200	    0.000833
      1000	         968	    0.001033

	mergesort(): sorted
         N	 repetitions	   sort(sec)
       100	      235942	    0.000004
       200	      110798	    0.000009
       300	       71124	    0.000014
       400	       51942	    0.000019
       500	       41573	    0.000024
       600	       33473	    0.000030
       700	       28234	    0.000035
       800	       24404	    0.000041
       900	       21836	    0.000046
      1000	       19737	    0.000051

	mergesort(): randomized
         N	 repetitions	   sort(sec)
       100	      214877	    0.000005
       200	       99774	    0.000010
       300	       64016	    0.000016
       400	       45970	    0.000022
       500	       36226	    0.000028
       600	       28765	    0.000035
       700	       23449	    0.000043
       800	       19568	    0.000051
       900	       16159	    0.000062
      1000	       13763	    0.000073

	mergesort(): reversed
         N	 repetitions	   sort(sec)
       100	      236743	    0.000004
       200	      110289	    0.000009
       300	       70246	    0.000014
       400	       51228	    0.000020
       500	       40899	    0.000024
       600	       33326	    0.000030
       700	       28148	    0.000036
       800	       24351	    0.000041
       900	       21484	    0.000047
      1000	       19323	    0.000052

	quicksort(): sorted
         N	 repetitions	   sort(sec)
       100	       35757	    0.000028
       200	        9097	    0.000110
       300	        4059	    0.000246
       400	        2300	    0.000435
       500	        1480	    0.000676
       600	        1033	    0.000968
       700	         759	    0.001318
       800	         579	    0.001727
       900	         458	    0.002186
      1000	         371	    0.002698

	quicksort(): randomized
         N	 repetitions	   sort(sec)
       100	      366143	    0.000003
       200	      124490	    0.000008
       300	       90594	    0.000011
       400	       62384	    0.000016
       500	       46968	    0.000021
       600	       40001	    0.000025
       700	       29304	    0.000034
       800	       30160	    0.000033
       900	       26266	    0.000038
      1000	       20506	    0.000049

	quicksort(): reversed
         N	 repetitions	   sort(sec)
       100	       52411	    0.000019
       200	       13607	    0.000073
       300	        5950	    0.000168
       400	        3506	    0.000285
       500	        2248	    0.000445
       600	        1572	    0.000636
       700	        1156	    0.000865
       800	         888	    0.001126
       900	         702	    0.001425
      1000	         568	    0.001761
